group,invariant
"['K14a9677', 'K14a9679']","{(1, 1, (0,), (0,)): 1, (5, 20, (0, 2, 2, 19), (0, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 9, 19, 19, 19, 19, 59)): 1, (4, 12, (0, 0, 2, 5, 23), (0, 0, 0, 0, 2, 5, 5, 5, 8, 8, 23, 23, 23, 23, 23)): 1, (3, 6, (0, 0, 2, 11), (0, 0, 0, 2, 2, 3, 11, 11, 59)): 1, (4, 24, (0, 8, 461), (0, 0, 0, 2, 3, 3, 3, 3, 11, 11, 16, 16, 16, 59, 461, 461, 461)): 1, (5, 20, (0, 4, 16), (0, 4, 4, 4, 4, 5, 5, 9, 16, 16, 16, 16, 59)): 1, (5, 120, (0, 2, 2, 13), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 13, 13, 13, 13, 49, 49, 49, 49, 49, 59, 121, 121, 121, 121, 121, 121)): 1, (2, 2, (0, 9, 59), (0, 9, 59)): 1, (4, 24, (0, 3, 8), (0, 0, 0, 2, 3, 3, 3, 3, 5, 5, 5, 11, 11, 11, 11, 11, 13, 13, 13, 16, 16, 16, 59)): 1, (5, 60, (0, 9, 11, 11), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 16, 32, 32, 32, 32)): 1, (4, 24, (0, 2, 2, 5, 5, 59), (0, 0, 0, 0, 0, 0, 2, 2, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 11, 11, 16, 16, 59, 59, 59, 59)): 1, (4, 4, (0, 5, 5, 9, 59), (0, 5, 5, 9, 59)): 1, (5, 5, (0, 11, 11), (0, 11, 11)): 1, (3, 3, (0, 4, 4, 23, 23), (0, 4, 4, 23, 23)): 1}"
"['K15a10182', 'K15a8451']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 5, 7, 31), (0, 5, 7, 31)): 1, (3, 3, (0, 373, 373), (0, 373, 373)): 1, (4, 4, (0, 5, 7, 31, 83, 83), (0, 5, 7, 31, 83, 83)): 1, (5, 5, (0, 13, 13, 13, 13, 89, 89), (0, 13, 13, 13, 13, 89, 89)): 1, (5, 10, (0, 7559), (0, 5, 7, 31, 7559, 7559)): 1}"
"['K15n40931', 'K15n40729']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 7, 37), (0, 7, 37)): 1, (4, 12, (0, 11), (0, 11, 11, 11, 32, 32)): 1, (3, 3, (0, 32, 32), (0, 32, 32)): 1, (4, 4, (0, 7, 11, 11, 37), (0, 7, 11, 11, 37)): 1, (5, 5, (0, 859, 859), (0, 859, 859)): 1}"
"['K15a1409', 'K15a1205']","{(1, 1, (0,), (0,)): 1, (3, 3, (0, 2, 2, 71, 71), (0, 2, 2, 71, 71)): 1, (2, 2, (0, 23, 31), (0, 23, 31)): 1, (4, 4, (0, 13, 13, 23, 31), (0, 13, 13, 23, 31)): 1, (5, 5, (0, 1031, 1031), (0, 1031, 1031)): 1, (4, 12, (0, 2, 2, 5, 29), (0, 2, 2, 5, 5, 5, 8, 8, 29, 29, 29, 71, 71)): 1}"
"['K15n21059', 'K15n21210']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 9, 61), (0, 9, 61)): 1, (3, 6, (0, 0, 2, 19), (0, 0, 0, 2, 2, 3, 19, 19, 61)): 1, (4, 12, (0, 0, 2, 11, 25), (0, 0, 0, 0, 2, 8, 8, 11, 11, 11, 25, 25, 25, 25, 25)): 1, (4, 24, (0, 2, 2, 7, 7, 61), (0, 0, 0, 0, 0, 0, 2, 2, 3, 4, 5, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 16, 16, 19, 19, 61, 61, 61, 61)): 1, (5, 60, (0, 3, 3, 101, 101), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 8, 16, 16, 16, 16, 27, 81, 81, 81, 81, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101)): 1, (4, 4, (0, 7, 7, 9, 61), (0, 7, 7, 9, 61)): 1, (3, 3, (0, 4, 4, 25, 25), (0, 4, 4, 25, 25)): 1, (5, 5, (0, 101, 101), (0, 101, 101)): 1, (4, 24, (0, 5, 8), (0, 0, 0, 2, 3, 5, 5, 5, 16, 16, 16, 19, 19, 19, 19, 19, 61, 71, 71, 71)): 1, (4, 24, (0, 3, 8, 1369), (0, 0, 0, 2, 3, 3, 3, 3, 5, 5, 5, 16, 16, 16, 19, 19, 61, 1369, 1369, 1369)): 1}"
"['K15n21064', 'K15n21215']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 9, 61), (0, 9, 61)): 1, (3, 3, (0, 4, 4, 25, 25), (0, 4, 4, 25, 25)): 1, (4, 4, (0, 7, 7, 9, 61), (0, 7, 7, 9, 61)): 1, (5, 5, (0, 101, 101), (0, 101, 101)): 1, (4, 24, (0, 3, 8, 1369), (0, 0, 0, 2, 3, 3, 3, 3, 5, 5, 5, 16, 16, 16, 19, 19, 61, 1369, 1369, 1369)): 1, (4, 24, (0, 2, 2, 7, 7, 61), (0, 0, 0, 0, 0, 0, 2, 2, 3, 4, 5, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 16, 16, 19, 19, 61, 61, 61, 61)): 1, (4, 24, (0, 5, 8), (0, 0, 0, 2, 3, 5, 5, 5, 16, 16, 16, 19, 19, 19, 19, 19, 61, 71, 71, 71)): 1, (4, 12, (0, 0, 2, 11, 25), (0, 0, 0, 0, 2, 8, 8, 11, 11, 11, 25, 25, 25, 25, 25)): 1, (3, 6, (0, 0, 2, 19), (0, 0, 0, 2, 2, 3, 19, 19, 61)): 1, (5, 60, (0, 3, 3, 101, 101), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 8, 16, 16, 16, 16, 27, 81, 81, 81, 81, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101)): 1}"
"['K15n122927', 'K15n122919']","{(1, 1, (0,), (0,)): 1, (5, 60, (0, 3, 5), (0, 2, 2, 2, 2, 3, 4, 4, 5, 5, 5, 5, 8, 8, 8, 8, 9, 9, 9, 9, 25, 25, 25, 73, 73, 73, 73, 73, 131, 131, 131)): 1, (3, 3, (0, 5, 5, 17, 17), (0, 5, 5, 17, 17)): 1, (2, 2, (0, 317), (0, 317)): 1, (4, 4, (0, 11, 11, 317), (0, 11, 11, 317)): 1, (5, 5, (0, 2, 2, 2, 2, 19, 19), (0, 2, 2, 2, 2, 19, 19)): 1}"
"['K15n21809', 'K15n29442']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 2, 4), (0, 2, 4, 13, 13, 16, 16)): 1, (2, 2, (0, 367), (0, 367)): 1, (3, 3, (0, 2, 2, 13, 13), (0, 2, 2, 13, 13)): 1, (4, 4, (0, 13, 13, 367), (0, 13, 13, 367)): 1, (5, 5, (0, 4, 4, 4, 4, 59, 59), (0, 4, 4, 4, 4, 59, 59)): 1, (5, 60, (0, 0, 4), (0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 25, 25, 25, 32, 61, 61, 61, 61, 61, 64, 64, 64, 64)): 1}"
"['K15n37007', 'K15n36971']","{(1, 1, (0,), (0,)): 1, (3, 6, (0, 5), (0, 3, 3, 5, 5, 5)): 1, (2, 2, (0, 5, 9), (0, 5, 9)): 1, (5, 10, (0, 139), (0, 5, 9, 139, 139)): 1, (3, 3, (0, 23, 23), (0, 23, 23)): 1, (4, 4, (0, 5, 9, 17, 17), (0, 5, 9, 17, 17)): 1, (5, 5, (0, 29, 29), (0, 29, 29)): 1}"
"['K15n20274', 'K15n18914']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 7, 37), (0, 7, 37)): 1, (3, 3, (0, 5, 5, 13, 13), (0, 5, 5, 13, 13)): 1, (4, 4, (0, 7, 9, 9, 37), (0, 7, 9, 9, 37)): 1, (5, 5, (0, 11, 11, 31, 31), (0, 11, 11, 31, 31)): 1}"
"['K15n10549', 'K15n6356']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 229), (0, 229)): 1, (3, 3, (0, 7, 7, 13, 13), (0, 7, 7, 13, 13)): 1, (4, 4, (0, 23, 23, 229), (0, 23, 23, 229)): 1, (5, 5, (0, 2, 2, 2, 2, 229, 229), (0, 2, 2, 2, 2, 229, 229)): 1}"
"['K14a14671', 'K14a14043']","{(1, 1, (0,), (0,)): 1, (3, 3, (0, 4, 4, 7, 7, 7, 7), (0, 4, 4, 7, 7, 7, 7)): 1, (2, 2, (0, 13, 53), (0, 13, 53)): 1, (4, 4, (0, 3, 3, 11, 11, 13, 53), (0, 3, 3, 11, 11, 13, 53)): 1, (5, 5, (0, 4, 4, 4, 4, 191, 191), (0, 4, 4, 4, 4, 191, 191)): 1, (5, 60, (0, 2, 2, 3, 3), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 5, 5, 5, 5, 5, 5, 8, 8, 8, 8, 11, 11, 11, 11, 11, 11)): 1, (4, 12, (0, 7, 7), (0, 4, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)): 1}"
"['K15a4579', 'K15a4121']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 683), (0, 683)): 1, (3, 3, (0, 89, 89), (0, 89, 89)): 1, (4, 4, (0, 3, 3, 683), (0, 3, 3, 683)): 1, (5, 5, (0, 929, 929), (0, 929, 929)): 1}"
"['K15n9516', 'K15n6974']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 13, 29), (0, 13, 29)): 1, (3, 3, (0, 43, 43), (0, 43, 43)): 1, (4, 4, (0, 13, 29), (0, 13, 29)): 1, (5, 5, (0, 2, 2, 2, 2, 31, 31), (0, 2, 2, 2, 2, 31, 31)): 1}"
"['K15n7602', 'K15n9897', 'K15n7498']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 593), (0, 593)): 1, (3, 3, (0, 151, 151), (0, 151, 151)): 1, (4, 4, (0, 17, 17, 593), (0, 17, 17, 593)): 1, (5, 5, (0, 151, 151), (0, 151, 151)): 1}"
"['K15n68', 'K15n103']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 47), (0, 4, 4, 41, 41, 47, 47, 47)): 1, (5, 10, (0, 2, 2, 4, 4), (0, 2, 2, 2, 2, 4, 4, 4, 4, 5, 107)): 1, (2, 2, (0, 5, 107), (0, 5, 107)): 1, (3, 3, (0, 4, 4, 41, 41), (0, 4, 4, 41, 41)): 1, (4, 4, (0, 5, 27, 27, 107), (0, 5, 27, 27, 107)): 1, (5, 5, (0, 2, 2, 2, 2, 11, 11, 19, 19), (0, 2, 2, 2, 2, 11, 11, 19, 19)): 1}"
"['K15n280', 'K15n301']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 47), (0, 4, 4, 41, 41, 47, 47, 47)): 1, (5, 10, (0, 2, 2, 4, 4), (0, 2, 2, 2, 2, 4, 4, 4, 4, 5, 107)): 1, (2, 2, (0, 5, 107), (0, 5, 107)): 1, (3, 3, (0, 4, 4, 41, 41), (0, 4, 4, 41, 41)): 1, (4, 4, (0, 5, 27, 27, 107), (0, 5, 27, 27, 107)): 1, (5, 5, (0, 2, 2, 2, 2, 11, 11, 19, 19), (0, 2, 2, 2, 2, 11, 11, 19, 19)): 1}"
"['K15a31135', 'K15a31758']","{(1, 1, (0,), (0,)): 1, (3, 6, (0, 3, 7), (0, 3, 7, 7, 9, 293)): 1, (2, 2, (0, 3, 293), (0, 3, 293)): 1, (3, 3, (0, 179, 179), (0, 179, 179)): 1, (4, 4, (0, 3, 11, 11, 293), (0, 3, 11, 11, 293)): 1, (5, 5, (0, 1609, 1609), (0, 1609, 1609)): 1}"
"['K15n17616', 'K15n17288']","{(1, 1, (0,), (0,)): 1, (3, 3, (0, 2, 2, 17, 17), (0, 2, 2, 17, 17)): 1, (5, 20, (0, 3, 4, 8), (0, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 8, 8, 8, 8, 29)): 1, (2, 2, (0, 29), (0, 29)): 1, (4, 4, (0, 3, 3, 5, 5, 29), (0, 3, 3, 5, 5, 29)): 1, (5, 5, (0, 2, 2, 2, 2, 7, 7, 7, 7), (0, 2, 2, 2, 2, 7, 7, 7, 7)): 1, (4, 12, (0, 2, 2, 3), (0, 2, 2, 3, 3, 3, 8, 8, 17, 17)): 1, (5, 20, (0, 2, 2, 9), (0, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 5, 5, 9, 9, 9, 9, 29)): 1}"
"['K15n53741', 'K15n53176']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 5, 49), (0, 5, 5, 5, 7, 7, 16, 16, 49, 49, 49)): 1, (2, 2, (0, 401), (0, 401)): 1, (3, 3, (0, 7, 7, 16, 16), (0, 7, 7, 16, 16)): 1, (4, 4, (0, 17, 17, 401), (0, 17, 17, 401)): 1, (5, 5, (0, 2, 2, 2, 2, 229, 229), (0, 2, 2, 2, 2, 229, 229)): 1}"
"['K15n23293', 'K15n22563']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 3, 7), (0, 2, 2, 3, 3, 3, 7, 7, 7, 59, 59)): 1, (2, 2, (0, 337), (0, 337)): 1, (3, 3, (0, 2, 2, 59, 59), (0, 2, 2, 59, 59)): 1, (4, 4, (0, 29, 29, 337), (0, 29, 29, 337)): 1, (5, 5, (0, 2141, 2141), (0, 2141, 2141)): 1}"
"['K15a12616', 'K15a48203']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 17, 29), (0, 17, 29)): 1, (3, 3, (0, 49, 49), (0, 49, 49)): 1, (4, 4, (0, 17, 29), (0, 17, 29)): 1, (5, 60, (0, 5, 9, 101), (0, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 5, 5, 5, 5, 5, 5, 5, 16, 25, 25, 25, 32, 32, 32, 32, 101, 101, 101, 101)): 2, (5, 5, (0, 3, 3, 3, 3, 29, 29), (0, 3, 3, 3, 3, 29, 29)): 1}"
"['K15a2764', 'K15a2766']","{(1, 1, (0,), (0,)): 1, (3, 6, (0, 2, 2), (0, 2, 2, 2, 2, 3, 337)): 1, (4, 12, (0, 25), (0, 2, 2, 25, 25, 25, 109, 109)): 1, (4, 24, (0, 2), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 283, 283, 283, 337)): 1, (5, 120, (0,), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 3, 4, 4, 5, 5, 5, 8, 9, 9, 9, 9, 16, 16, 16, 16, 25, 25, 25, 27, 47, 47, 47, 47, 47, 47, 81, 81, 81, 81, 337, 3433, 3433, 3433, 3433)): 1, (2, 2, (0, 3, 337), (0, 3, 337)): 1, (4, 24, (0, 0, 0), (0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 17, 17, 17, 337)): 1, (3, 3, (0, 2, 2, 109, 109), (0, 2, 2, 109, 109)): 1, (4, 24, (0, 2), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 13, 13, 13, 25, 25, 25, 337)): 1, (5, 5, (0, 2, 2, 2, 2, 239, 239), (0, 2, 2, 2, 2, 239, 239)): 1, (4, 4, (0, 3, 3, 3, 7, 7, 337), (0, 3, 3, 3, 7, 7, 337)): 1}"
"['K15a65650', 'K15a75120']","{(1, 1, (0,), (0,)): 1, (5, 60, (0, 2, 2, 3, 5), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 16, 32, 32, 32, 32)): 1, (5, 10, (0, 49, 49), (0, 5, 49, 49, 49, 49, 113)): 1, (2, 2, (0, 5, 113), (0, 5, 113)): 1, (3, 3, (0, 37, 37), (0, 37, 37)): 1, (4, 4, (0, 3, 3, 5, 113), (0, 3, 3, 5, 113)): 1, (5, 5, (0, 11, 11, 41, 41), (0, 11, 11, 41, 41)): 1}"
"['K14n1650', 'K14n1640']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 43), (0, 5, 5, 8, 8, 43, 43, 43)): 1, (5, 60, (0, 2, 2, 3, 3), (0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 8, 3361, 3361, 3361)): 1, (2, 2, (0, 181), (0, 181)): 1, (3, 3, (0, 5, 5, 8, 8), (0, 5, 5, 8, 8)): 1, (4, 4, (0, 181), (0, 181)): 1, (5, 5, (0, 389, 389), (0, 389, 389)): 1}"
"['K15a28235', 'K15a53556']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 0, 2, 7), (0, 0, 0, 0, 2, 7, 7, 7, 8, 8, 41, 41)): 1, (3, 6, (0, 0, 16), (0, 0, 0, 9, 16, 16, 37)): 1, (4, 24, (0, 0, 4), (0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 8, 9, 16, 16, 37, 37, 37, 37)): 1, (2, 2, (0, 27, 37), (0, 27, 37)): 1, (4, 24, (0, 4, 4, 7, 43), (0, 0, 0, 4, 4, 4, 4, 7, 7, 7, 8, 8, 8, 8, 9, 16, 16, 37, 43, 43, 43)): 1, (3, 3, (0, 4, 4, 41, 41), (0, 4, 4, 41, 41)): 1, (4, 4, (0, 7, 7, 27, 37), (0, 7, 7, 27, 37)): 1, (4, 24, (0, 4, 8, 271), (0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 4, 4, 4, 9, 16, 16, 37, 64, 64, 271, 271, 271)): 1, (5, 5, (0, 3, 3, 3, 3, 11, 11), (0, 3, 3, 3, 3, 11, 11)): 1, (5, 60, (0, 3, 9, 11), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 5, 5, 5, 7, 7, 7, 7, 7, 9, 9, 9, 9, 11, 11, 11, 11, 32, 64, 64, 64, 64, 131, 131, 131)): 1}"
